,materials 0,materials 1,materials 2,materials 3,materials 4,materials 5,materials 6,materials 7,materials 8,materials 9,materials 10,materials 11,Average Correlation
materials 0,1.0,0.92,0.53,0.92,1.0,-0.0,0.43,0.8,1.0,0.39,0.38,0.92,0.6908333333333333
materials 1,0.92,1.0,0.64,1.0,0.92,-0.0,0.36,0.92,0.92,0.53,0.5,1.0,0.7258333333333334
materials 2,0.53,0.64,1.0,0.64,0.53,0.21,0.58,0.53,0.53,0.92,0.71,0.64,0.6216666666666667
materials 3,0.92,1.0,0.64,1.0,0.92,-0.0,0.36,0.92,0.92,0.53,0.5,1.0,0.7258333333333334
materials 4,1.0,0.92,0.53,0.92,1.0,-0.0,0.43,0.8,1.0,0.39,0.38,0.92,0.6908333333333333
materials 5,-0.0,-0.0,0.21,-0.0,-0.0,1.0,0.53,0.23,-0.0,0.45,0.49,-0.0,0.24250000000000002
materials 6,0.43,0.36,0.58,0.36,0.43,0.53,1.0,0.43,0.43,0.67,0.88,0.36,0.5383333333333332
materials 7,0.8,0.92,0.53,0.92,0.8,0.23,0.43,1.0,0.8,0.59,0.6,0.92,0.7116666666666668
materials 8,1.0,0.92,0.53,0.92,1.0,-0.0,0.43,0.8,1.0,0.39,0.38,0.92,0.6908333333333333
materials 9,0.39,0.53,0.92,0.53,0.39,0.45,0.67,0.59,0.39,1.0,0.83,0.53,0.6016666666666667
materials 10,0.38,0.5,0.71,0.5,0.38,0.49,0.88,0.6,0.38,0.83,1.0,0.5,0.5958333333333333
materials 11,0.92,1.0,0.64,1.0,0.92,-0.0,0.36,0.92,0.92,0.53,0.5,1.0,0.7258333333333334
