,materials 0,materials 1,materials 2,materials 3,materials 4,materials 5,materials 6,materials 7,materials 8,materials 9,Average Correlation
materials 0,1.0,0.13,-0.62,0.47,-0.01,-0.16,0.38,-0.61,-0.71,0.15,0.001999999999999988
materials 1,0.13,1.0,0.02,0.0,-0.43,-0.24,-0.0,-0.08,-0.13,-0.07,0.02
materials 2,-0.62,0.02,1.0,-0.4,-0.43,0.51,0.0,0.54,0.43,-0.29,0.076
materials 3,0.47,0.0,-0.4,1.0,-0.16,-0.0,0.2,-0.17,0.16,-0.37,0.07299999999999998
materials 4,-0.01,-0.43,-0.43,-0.16,1.0,0.13,-0.0,0.03,0.01,0.5,0.06399999999999999
materials 5,-0.16,-0.24,0.51,-0.0,0.13,1.0,0.38,0.35,0.45,0.15,0.257
materials 6,0.38,-0.0,0.0,0.2,-0.0,0.38,1.0,0.42,0.0,-0.0,0.238
materials 7,-0.61,-0.08,0.54,-0.17,0.03,0.35,0.42,1.0,0.61,-0.34,0.175
materials 8,-0.71,-0.13,0.43,0.16,0.01,0.45,0.0,0.61,1.0,-0.15,0.167
materials 9,0.15,-0.07,-0.29,-0.37,0.5,0.15,-0.0,-0.34,-0.15,1.0,0.05800000000000001
