,materials 0,materials 1,materials 2,materials 3,materials 4,materials 5,materials 6,materials 7,materials 8,materials 9,materials 10,Average Correlation
materials 0,1.0,0.31,-0.3,0.67,0.55,0.67,0.36,0.75,0.51,0.58,0.9,0.5454545454545454
materials 1,0.31,1.0,0.14,0.32,0.55,0.75,0.09,0.34,0.5,0.4,0.13,0.41181818181818186
materials 2,-0.3,0.14,1.0,-0.08,0.14,-0.08,0.56,0.0,0.04,-0.04,-0.34,0.09454545454545454
materials 3,0.67,0.32,-0.08,1.0,0.83,0.53,0.03,0.93,0.61,0.7,0.64,0.5618181818181819
materials 4,0.55,0.55,0.14,0.83,1.0,0.45,0.04,0.9,0.73,0.85,0.56,0.6000000000000001
materials 5,0.67,0.75,-0.08,0.53,0.45,1.0,0.37,0.56,0.45,0.37,0.46,0.5027272727272728
materials 6,0.36,0.09,0.56,0.03,0.04,0.37,1.0,0.2,0.24,0.11,0.15,0.2863636363636363
materials 7,0.75,0.34,0.0,0.93,0.9,0.56,0.2,1.0,0.67,0.8,0.75,0.6272727272727272
materials 8,0.51,0.5,0.04,0.61,0.73,0.45,0.24,0.67,1.0,0.92,0.31,0.5436363636363636
materials 9,0.58,0.4,-0.04,0.7,0.85,0.37,0.11,0.8,0.92,1.0,0.53,0.5654545454545454
materials 10,0.9,0.13,-0.34,0.64,0.56,0.46,0.15,0.75,0.31,0.53,1.0,0.4627272727272727
