,wc 0,wc 1,wc 2,wc 3,wc 4,wc 5,wc 6,wc 7,wc 8,wc 9,wc 10,wc 11,Average Correlation
wc 0,1.0,0.73,0.38,0.73,1.0,0.15,0.77,0.8,1.0,0.38,0.77,0.73,0.7033333333333333
wc 1,0.73,1.0,0.71,1.0,0.73,-0.07,0.69,0.92,0.73,0.71,0.69,1.0,0.7366666666666667
wc 2,0.38,0.71,1.0,0.71,0.38,0.29,0.78,0.6,0.38,1.0,0.78,0.71,0.6433333333333333
wc 3,0.73,1.0,0.71,1.0,0.73,-0.07,0.69,0.92,0.73,0.71,0.69,1.0,0.7366666666666667
wc 4,1.0,0.73,0.38,0.73,1.0,0.15,0.77,0.8,1.0,0.38,0.77,0.73,0.7033333333333333
wc 5,0.15,-0.07,0.29,-0.07,0.15,1.0,0.45,0.15,0.15,0.29,0.45,-0.07,0.23916666666666667
wc 6,0.77,0.69,0.78,0.69,0.77,0.45,1.0,0.77,0.77,0.78,1.0,0.69,0.7633333333333332
wc 7,0.8,0.92,0.6,0.92,0.8,0.15,0.77,1.0,0.8,0.6,0.77,0.92,0.7541666666666668
wc 8,1.0,0.73,0.38,0.73,1.0,0.15,0.77,0.8,1.0,0.38,0.77,0.73,0.7033333333333333
wc 9,0.38,0.71,1.0,0.71,0.38,0.29,0.78,0.6,0.38,1.0,0.78,0.71,0.6433333333333333
wc 10,0.77,0.69,0.78,0.69,0.77,0.45,1.0,0.77,0.77,0.78,1.0,0.69,0.7633333333333332
wc 11,0.73,1.0,0.71,1.0,0.73,-0.07,0.69,0.92,0.73,0.71,0.69,1.0,0.7366666666666667
