Model Name,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Avg Performance (Rounds 1-5),Avg Performance (Rounds 6-10)
gpt-3.5-turbonone Temp. = 0.0,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,97.08333333333333,97.5,94.58333333333333,95.66666666666666
gpt-3.5-turbonone Temp. = 0.2,91.25,92.08333333333333,92.91666666666667,92.91666666666667,95.41666666666667,95.41666666666667,95.41666666666667,95.41666666666667,95.41666666666667,95.41666666666667,92.91666666666667,95.41666666666667
gpt-3.5-turbonone Temp. = 0.4,61.25000000000001,69.58333333333333,91.66666666666666,92.5,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,95.83333333333334,81.91666666666666,94.83333333333333
gpt-3.5-turbonone Temp. = 0.6,58.75,82.5,87.91666666666667,87.91666666666667,91.25,92.91666666666667,92.91666666666667,92.91666666666667,92.91666666666667,92.91666666666667,81.66666666666667,92.91666666666667
gpt-3.5-turbonone Temp. = 1.0,45.416666666666664,71.25,82.5,82.5,90.83333333333333,91.25,91.25,92.5,92.5,94.16666666666667,74.49999999999999,92.33333333333334
gpt-3.5-turbogeneric Temp. = 0.0,77.5,80.41666666666667,80.41666666666667,80.41666666666667,80.41666666666667,87.08333333333333,92.91666666666667,92.91666666666667,92.91666666666667,93.75,79.83333333333334,91.91666666666667
gpt-3.5-turbogeneric Temp. = 0.2,75.83333333333333,87.5,87.5,87.5,87.5,87.91666666666667,92.5,92.5,93.33333333333333,94.58333333333333,85.16666666666666,92.16666666666666
gpt-3.5-turbogeneric Temp. = 0.4,70.0,87.91666666666667,91.66666666666666,92.08333333333333,92.08333333333333,92.5,92.5,95.41666666666667,96.25,96.25,86.75,94.58333333333334
gpt-3.5-turbogeneric Temp. = 0.6,67.5,87.5,87.5,90.83333333333333,91.25,92.91666666666667,92.91666666666667,92.91666666666667,92.91666666666667,93.33333333333333,84.91666666666666,93.0
gpt-3.5-turbogeneric Temp. = 1.0,70.0,81.66666666666667,92.5,92.91666666666667,92.91666666666667,93.75,95.83333333333334,95.83333333333334,96.25,96.25,86.00000000000001,95.58333333333334
gpt-3.5-turbo_prompt Temp. = 0.0,37.916666666666664,38.75,66.66666666666666,69.16666666666667,85.41666666666666,85.41666666666666,85.41666666666666,86.25,86.25,87.91666666666667,59.58333333333333,86.25
gpt-3.5-turbo_prompt Temp. = 0.2,67.08333333333333,72.91666666666666,76.66666666666667,87.08333333333333,93.33333333333333,94.16666666666667,95.41666666666667,95.83333333333334,96.25,96.25,79.41666666666666,95.58333333333334
gpt-3.5-turbo_prompt Temp. = 0.4,50.83333333333333,72.5,77.08333333333334,84.16666666666667,88.33333333333333,91.66666666666666,92.5,94.16666666666667,95.83333333333334,95.83333333333334,74.58333333333334,94.0
gpt-3.5-turbo_prompt Temp. = 0.6,65.83333333333333,72.91666666666666,83.75,85.83333333333333,92.5,95.83333333333334,95.83333333333334,96.25,96.25,96.25,80.16666666666666,96.08333333333334
gpt-3.5-turbo_prompt Temp. = 1.0,65.41666666666667,80.0,84.16666666666667,87.5,90.83333333333333,92.08333333333333,92.5,92.5,92.5,94.16666666666667,81.58333333333334,92.75
Gaussian Process Regression,69.58333333333333,80.83333333333333,84.16666666666667,87.5,87.5,88.75,91.25,91.66666666666666,91.66666666666666,92.08333333333333,81.91666666666666,91.08333333333331
Random Forest,67.5,81.25,87.91666666666667,92.5,94.16666666666667,96.25,96.25,96.66666666666667,96.66666666666667,96.66666666666667,84.66666666666667,96.50000000000001
XXX Baseline (Random Draw),41.25,65.83333333333333,72.5,77.91666666666667,82.91666666666667,85.83333333333333,87.5,91.25,92.08333333333333,92.5,68.08333333333334,89.83333333333333
