Model Name,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Avg Success Rate (Rounds 1-5),Avg Success Rate (Rounds 6-10)
gpt-3.5-turbonone Temp. = 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,80.0,0.0,30.0
gpt-3.5-turbonone Temp. = 0.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
gpt-3.5-turbonone Temp. = 0.4,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,12.0,20.0
gpt-3.5-turbonone Temp. = 0.6,10.0,10.0,20.0,20.0,20.0,30.0,30.0,30.0,30.0,30.0,16.0,30.0
gpt-3.5-turbonone Temp. = 1.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,20.0,20.0,30.0,2.0,18.0
gpt-3.5-turbogeneric Temp. = 0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,8.0
gpt-3.5-turbogeneric Temp. = 0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,4.0
gpt-3.5-turbogeneric Temp. = 0.4,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,6.0,14.0
gpt-3.5-turbogeneric Temp. = 0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbogeneric Temp. = 1.0,10.0,10.0,20.0,20.0,20.0,30.0,40.0,40.0,40.0,40.0,16.0,38.0
gpt-3.5-turbo_prompt Temp. = 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo_prompt Temp. = 0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,4.0
gpt-3.5-turbo_prompt Temp. = 0.4,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,6.0,14.0
gpt-3.5-turbo_prompt Temp. = 0.6,30.0,30.0,40.0,40.0,50.0,60.0,60.0,60.0,60.0,60.0,38.0,60.0
gpt-3.5-turbo_prompt Temp. = 1.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Gaussian Process Regression,0.0,0.0,0.0,1.1111111111111112,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.6666666666666667,2.2222222222222223
Random Forest,4.444444444444445,13.333333333333334,15.555555555555555,28.888888888888886,35.55555555555556,45.55555555555556,51.11111111111111,58.88888888888889,64.44444444444444,67.77777777777779,19.555555555555554,57.55555555555556
XXX Baseline (Random Draw),2.2222222222222223,4.444444444444445,7.777777777777778,11.11111111111111,14.444444444444443,18.88888888888889,18.88888888888889,24.444444444444443,25.555555555555554,25.555555555555554,8.0,22.666666666666664
